preview_frame_id,host_epoch_ns,host_monotonic_ns,video_source_epoch_ns,video_pipeline_latency_ms,telemetry_match_delta_ms,sync_offset_ms,decoded_frame_seq,dropped_frames,telemetry_session,telemetry_seq,telemetry_device_ms,tracking_frame_id
222,1785481822089667100,195092841952100,1785481821987045120,102.62198,19.02748,0.0,222,0,000070ca,6712,216193,8532
223,1785481822141008300,195092893293500,1785481822037010944,103.997356,-10.987844,0.0,223,0,000070ca,6713,216216,8533
224,1785481822189597000,195092941882300,1785481822087677952,101.919048,22.062148,0.0,224,0,000070ca,6715,216301,8537
225,1785481822239075400,195092991360600,1785481822137267200,101.8082,-7.8468,0.0,225,0,000070ca,6716,216320,8538
226,1785481822289906900,195093042192200,1785481822187366912,102.539988,16.220088,0.0,226,0,000070ca,6718,216394,8541
227,1785481822339346500,195093091631800,1785481822236911104,102.435396,-13.098404,0.0,227,0,000070ca,6719,216415,8542
228,1785481822389327100,195093141612400,1785481822287578112,101.748988,18.000588,0.0,228,0,000070ca,6721,216497,8546
229,1785481822439620100,195093191905400,1785481822337033984,102.586116,-12.365684,0.0,229,0,000070ca,6722,216516,8547
230,1785481822489661000,195093241946300,1785481822387033088,102.627912,10.991812,0.0,230,0,000070ca,6724,216586,8550
231,1785481822539003700,195093291289000,1785481822437388800,101.6149,6.6853,0.0,231,0,000070ca,6725,216626,8552
232,1785481822589044000,195093341329200,1785481822487545088,101.498912,17.804812,0.0,232,0,000070ca,6727,216697,8555
233,1785481822640974400,195093393259800,1785481822536889088,104.085312,-7.922888,0.0,233,0,000070ca,6728,216716,8556
